date,value
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,5
2006-09,5
2006-10,9
2006-11,9
2006-12,18
2007-01,20
2007-02,24
2007-03,26
2007-04,47
2007-05,56
2007-06,94
2007-07,120
2007-08,253
2007-09,429
2007-10,709
2007-11,827
2007-12,1149
2008-01,1777
2008-02,2521
2008-03,3787
2008-04,7338
2008-05,10131
2008-06,13356
2008-07,17234
2008-08,27213
2008-09,36075
2008-10,59268
2008-11,68887
2008-12,82242
2009-01,103498
2009-02,137122
2009-03,182220
2009-04,224291
2009-05,264802
2009-06,786117
2009-07,842362
2009-08,960112
2009-09,1046861
2009-10,1190857
2009-11,1348042
2009-12,1500595
2010-01,1804118
2010-02,2156669
2010-03,2516387
2010-04,2841764
2010-05,3442726
2010-06,5677231
2010-07,7998930
2010-08,9771039
2010-09,10902962
2010-10,11969665
2010-11,12787711
2010-12,14038973
2011-01,15069142
2011-02,16062491
2011-03,17239356
2011-04,18039688
2011-05,18932149
2011-06,19657102
2011-07,20636463
2011-08,26430634
2011-09,31557903
2011-10,32754139
2011-11,34116321
2011-12,35884774
2012-01,37983879
2012-02,39737888
2012-03,41790252
2012-04,43402017
2012-05,45404563
2012-06,47186383
2012-07,48788839
2012-08,50772823
2012-09,52807389
2012-10,55101227
2012-11,57884247
2012-12,60365576
2013-01,62634516
2013-02,64464860
2013-03,68523969
2013-04,71294792
2013-05,73484947
2013-06,75495185
2013-07,77441088
2013-08,79472651
2013-09,81894929
2013-10,84075846
2013-11,87124629
2013-12,90493728
2014-01,93258291
2014-02,96134990
2014-03,101159768
2014-04,106982445
2014-05,112335816
2014-06,115886766
2014-07,118706851
2014-08,122708650
2014-09,125698057
2014-10,128544245
2014-11,131277923
2014-12,134298933
